thornhill_tip_label,taxon,taxon_sp
Corymbia_candida_subsp_dispodes_454,Corymbia_candida_dispodes,Corymbia_candida
Corymbia_flavescens_MC_10596,Corymbia_flavescens,Corymbia_flavescens
Corymbia_ferriticola_MC_11117,Corymbia_ferriticola,Corymbia_ferriticola
Corymbia_hylandii_CANB_738922,Corymbia_hylandii,Corymbia_hylandii
Corymbia_porrecta_CANB_628340,Corymbia_porrecta,Corymbia_porrecta
Corymbia_pauciseta_CANB_448845,Corymbia_pauciseta,Corymbia_pauciseta
Corymbia_bella_MC_10518,Corymbia_bella,Corymbia_bella
Corymbia_torta_CANB_644409,Corymbia_torta,Corymbia_torta
Corymbia_dendromerinx_CANB_644448,Corymbia_dendromerinx,Corymbia_dendromerinx
Corymbia_polysciada_CANB_785479,Corymbia_polysciada,Corymbia_polysciada
Corymbia_arafurica_CANB_557707,Corymbia_arafurica,Corymbia_arafurica
Corymbia_confertiflora_CANB_785485,Corymbia_confertiflora,Corymbia_confertiflora
Corymbia_aspera_CANB_785505,Corymbia_aspera,Corymbia_aspera
Corymbia_gilbertensis_CANB_739029,Corymbia_gilbertensis,Corymbia_gilbertensis
Corymbia_aparrerinja_MC_10615,Corymbia_aparrerinja,Corymbia_aparrerinja
Corymbia_blakei_CANB_582767,Corymbia_blakei,Corymbia_blakei
Corymbia_papuana_CANB_583122,Corymbia_papuana,Corymbia_papuana
Corymbia_dallachiana_CANB_697829,Corymbia_dallachiana,Corymbia_dallachiana
Corymbia_grandifolia_CANB_739034,Corymbia_grandifolia,Corymbia_grandifolia
Corymbia_tessellaris_324,Corymbia_tessellaris,Corymbia_tessellaris
Corymbia_torelliana_Mt_Annan_981102,Corymbia_torelliana,Corymbia_torelliana
Corymbia_eximia_ANBG_62889,Corymbia_eximia,Corymbia_eximia
Corymbia_maculata_ANBG_7800470,Corymbia_maculata,Corymbia_maculata
Corymbia_henryi_ANBG_8910948,Corymbia_henryi,Corymbia_henryi
Corymbia_variegata,Corymbia_variegata,Corymbia_variegata
Corymbia_citriodora_231,Corymbia_citriodora,Corymbia_citriodora
Corymbia_bloxsomei_238,Corymbia_bloxsomei,Corymbia_bloxsomei
Corymbia_peltata_493,Corymbia_peltata,Corymbia_peltata
Corymbia_leptoloma_694,Corymbia_leptoloma,Corymbia_leptoloma
Corymbia_aureola_CANB_582839,Corymbia_aureola,Corymbia_aureola
Corymbia_leichhardtii_Mt_Annan_891967,Corymbia_leichhardtii,Corymbia_leichhardtii
Corymbia_bunites_229,Corymbia_bunites,Corymbia_bunites
Corymbia_watsoniana_subsp_watsoniana_ANBG_68771,Corymbia_watsoniana_watsoniana,Corymbia_watsoniana
Corymbia_dimorpha,Corymbia_dimorpha,Corymbia_dimorpha
Corymbia_catenaria_240,Corymbia_catenaria,Corymbia_catenaria
Corymbia_scabrida_Mt_Annan_891868,Corymbia_scabrida,Corymbia_scabrida
Corymbia_petalophylla_Mt_Annan_892019,Corymbia_petalophylla,Corymbia_petalophylla
Angophora_exul_573034,Angophora_exul,Angophora_exul
Angophora_melanoxylon_509,Angophora_melanoxylon,Angophora_melanoxylon
Angophora_floribunda_LAN107,Angophora_floribunda,Angophora_floribunda
Angophora_robur_LAN056,Angophora_robur,Angophora_robur
Angophora_woodsiana_LAN058,Angophora_woodsiana,Angophora_woodsiana
Angophora_hispida_LAN009,Angophora_hispida,Angophora_hispida
Angophora_costata_subsp_costata_LAN043,Angophora_costata_costata,Angophora_costata
Angophora_bakeri_subsp_bakeri_LAN103,Angophora_bakeri_bakeri,Angophora_bakeri
Angophora_inopina_LAN025,Angophora_inopina,Angophora_inopina
Angophora_subvelutina_LAN059,Angophora_subvelutina,Angophora_subvelutina
Corymbia_gummifera_680,Corymbia_gummifera,Corymbia_gummifera
Corymbia_trachyphloia_ANBG_60750,Corymbia_trachyphloia,Corymbia_trachyphloia
Corymbia_haematoxylon_380,Corymbia_haematoxylon,Corymbia_haematoxylon
Corymbia_calophylla_377,Corymbia_calophylla,Corymbia_calophylla
Corymbia_ficifolia_ANBG_c208,Corymbia_ficifolia,Corymbia_ficifolia
Corymbia_abergiana_633,Corymbia_abergiana,Corymbia_abergiana
Corymbia_xanthope,Corymbia_xanthope,Corymbia_xanthope
Corymbia_intermedia_230,Corymbia_intermedia,Corymbia_intermedia
Corymbia_lamprophylla_Mt_Annan_842093,Corymbia_lamprophylla,Corymbia_lamprophylla
Corymbia_ptychocarpa_subsp_ptychocarpa_MC_10536,Corymbia_ptychocarpa_ptychocarpa,Corymbia_ptychocarpa
Corymbia_jacobsiana_CANB_558528,Corymbia_jacobsiana,Corymbia_jacobsiana
Corymbia_clarksoniana_ANBG_643951,Corymbia_clarksoniana,Corymbia_clarksoniana
Corymbia_latifolia_CANB_785515,Corymbia_latifolia,Corymbia_latifolia
Corymbia_novaguineesis_CANB_738912,Corymbia_novaguineesis,Corymbia_novaguineesis
Corymbia_porphyritica,Corymbia_porphyritica,Corymbia_porphyritica
Corymbia_abbreviata_CANB_459002,Corymbia_abbreviata,Corymbia_abbreviata
Corymbia_stockeri_subsp_stockeri_CANB_739042,Corymbia_stockeri_stockeri,Corymbia_stockeri
Corymbia_opacula,Corymbia_opacula,Corymbia_opacula
Corymbia_opaca,Corymbia_opaca,Corymbia_opaca
Corymbia_brachycarpa_Mt_Annan_891988,Corymbia_brachycarpa,Corymbia_brachycarpa
Corymbia_arenaria_MC_10558,Corymbia_arenaria,Corymbia_arenaria
Corymbia_chippendalei_CANB_513580,Corymbia_chippendalei,Corymbia_chippendalei
Corymbia_lenziana_CANB_794064,Corymbia_lenziana,Corymbia_lenziana
Corymbia_rhodops_CANB_598277,Corymbia_rhodops,Corymbia_rhodops
Corymbia_pachycarpa_CANB_785564,Corymbia_pachycarpa,Corymbia_pachycarpa
Corymbia_hamersleyana_MC_11116,Corymbia_hamersleyana,Corymbia_hamersleyana
Corymbia_dolichocarpa,Corymbia_dolichocarpa,Corymbia_dolichocarpa
Corymbia_polycarpa_CANB_785478,Corymbia_polycarpa,Corymbia_polycarpa
Corymbia_papillosa_CANB_564789,Corymbia_papillosa,Corymbia_papillosa
Corymbia_cadophora_subsp_cadophora_MC_10577,Corymbia_cadophora_cadophora,Corymbia_cadophora
Corymbia_eremaea_subsp_eremaea_280,Corymbia_eremaea_eremaea,Corymbia_eremaea
Corymbia_dichromophloia_MC_10528,Corymbia_dichromophloia,Corymbia_dichromophloia
Corymbia_deserticola_subsp_deserticola_MC_11111,Corymbia_deserticola_deserticola,Corymbia_deserticola
Corymbia_erythrophloia_Mt_Annan_891984,Corymbia_erythrophloia,Corymbia_erythrophloia
Corymbia_ligans_subsp_ligans,Corymbia_ligans,Corymbia_ligans
Corymbia_zygophylla_MC_10581,Corymbia_zygophylla,Corymbia_zygophylla
Corymbia_ellipsoidea_Mt_Annan_904974,Corymbia_ellipsoidea,Corymbia_ellipsoidea
Corymbia_hendersonii_252,Corymbia_hendersonii,Corymbia_hendersonii
Corymbia_ferruginea_subsp_ferruginea_MC_10538,Corymbia_ferruginea_ferruginea,Corymbia_ferruginea
Corymbia_dampieri,Corymbia_dampieri,Corymbia_dampieri
Corymbia_collina_MC_10588,Corymbia_collina,Corymbia_collina
Corymbia_bleeseri_MC_10516,Corymbia_bleeseri,Corymbia_bleeseri
Corymbia_nesophila_MC_10553,Corymbia_nesophila,Corymbia_nesophila
Corymbia_terminalis_MC_10579,Corymbia_terminalis,Corymbia_terminalis
Corymbia_greeniana_MC_10557,Corymbia_greeniana,Corymbia_greeniana
Corymbia_foelscheana_MC_10508,Corymbia_foelscheana,Corymbia_foelscheana
Corymbia_plena_CANB_660150,Corymbia_plena,Corymbia_plena
Corymbia_dunlopiana_CANB_640209,Corymbia_dunlopiana,Corymbia_dunlopiana
Eucalyptus_curtisii_632,Eucalyptus_curtisii,Eucalyptus_curtisii
Eucalyptus_tetrodonta_MC_10512,Eucalyptus_tetrodonta,Eucalyptus_tetrodonta
Eucalyptus_ceracea_CANB_551306,Eucalyptus_ceracea,Eucalyptus_ceracea
Eucalyptus_phoenicea_MC_10527,Eucalyptus_phoenicea,Eucalyptus_phoenicea
Eucalyptus_miniata_MC_10511,Eucalyptus_miniata,Eucalyptus_miniata
Eucalyptus_chartaboma_CANB_703248,Eucalyptus_chartaboma,Eucalyptus_chartaboma
Eucalyptus_gigantangion_CANB_454615,Eucalyptus_gigantangion,Eucalyptus_gigantangion
Eucalyptus_lirata_CANB_784082,Eucalyptus_lirata,Eucalyptus_lirata
Eucalyptus_similis,Eucalyptus_similis,Eucalyptus_similis
Eucalyptus_baileyana_Mt_Annan_892003,Eucalyptus_baileyana,Eucalyptus_baileyana
Eucalyptus_gongylocarpa_MC_11097,Eucalyptus_gongylocarpa,Eucalyptus_gongylocarpa
Eucalyptus_roycei_328,Eucalyptus_roycei,Eucalyptus_roycei
Eucalyptus_ebbanoensis_subsp_ebbanoensis_ANBG_9806509,Eucalyptus_ebbanoensis_ebbanoensis,Eucalyptus_ebbanoensis
Eucalyptus_erythrocorys,Eucalyptus_erythrocorys,Eucalyptus_erythrocorys
Eucalyptus_jucunda_MC_10796,Eucalyptus_jucunda,Eucalyptus_jucunda
Eucalyptus_conveniens_48,Eucalyptus_conveniens,Eucalyptus_conveniens
Eucalyptus_gamophylla_MC_10612,Eucalyptus_gamophylla,Eucalyptus_gamophylla
Eucalyptus_odontocarpa_MC_10608,Eucalyptus_odontocarpa,Eucalyptus_odontocarpa
Eucalyptus_extrica_CANB_632680,Eucalyptus_extrica,Eucalyptus_extrica
Eucalyptus_pleurocarpa,Eucalyptus_pleurocarpa,Eucalyptus_pleurocarpa
Eucalyptus_gittinsii_subsp_gittinsii_MC_10801,Eucalyptus_gittinsii_gittinsii,Eucalyptus_gittinsii
Eucalyptus_eudesmioides_subsp_eudesmioides_MC_10780,Eucalyptus_eudesmioides_eudesmioides,Eucalyptus_eudesmioides
Eucalyptus_tenuipes,Eucalyptus_tenuipes,Eucalyptus_tenuipes
Eucalyptus_cloeziana_241,Eucalyptus_cloeziana,Eucalyptus_cloeziana
Eucalyptus_patens_ANBG_55807,Eucalyptus_patens,Eucalyptus_patens
Eucalyptus_dolorosa_610751,Eucalyptus_dolorosa,Eucalyptus_dolorosa
Eucalyptus_todtiana_CANB_530801,Eucalyptus_todtiana,Eucalyptus_todtiana
Eucalyptus_johnsoniana_CANB_794214,Eucalyptus_johnsoniana,Eucalyptus_johnsoniana
Eucalyptus_staeri_366,Eucalyptus_staeri,Eucalyptus_staeri
Eucalyptus_marginata_subsp_marginata_MC_10941,Eucalyptus_marginata_marginata,Eucalyptus_marginata
Eucalyptus_brevistylis_393,Eucalyptus_brevistylis,Eucalyptus_brevistylis
Eucalyptus_jacksonii_MC_10952,Eucalyptus_jacksonii,Eucalyptus_jacksonii
Eucalyptus_calcicola_subsp_calcicola_176,Eucalyptus_calcicola_calcicola,Eucalyptus_calcicola
Eucalyptus_diversifolia_subsp_diversifolia_390,Eucalyptus_diversifolia_diversifolia,Eucalyptus_diversifolia
Eucalyptus_pachyloma_426,Eucalyptus_pachyloma,Eucalyptus_pachyloma
Eucalyptus_lateritica_CANB_794197,Eucalyptus_lateritica,Eucalyptus_lateritica
Eucalyptus_suberea_MC_10904A,Eucalyptus_suberea,Eucalyptus_suberea
Eucalyptus_aquilina_CANB_459757,Eucalyptus_aquilina,Eucalyptus_aquilina
Eucalyptus_megacarpa_MC_11214,Eucalyptus_megacarpa,Eucalyptus_megacarpa
Eucalyptus_coronata_658,Eucalyptus_coronata,Eucalyptus_coronata
Eucalyptus_exilis_ANBG_8004906,Eucalyptus_exilis,Eucalyptus_exilis
Eucalyptus_pendens_CANB_794222,Eucalyptus_pendens,Eucalyptus_pendens
Eucalyptus_insularis_275,Eucalyptus_insularis,Eucalyptus_insularis
Eucalyptus_platydisca_CANB_638520,Eucalyptus_platydisca,Eucalyptus_platydisca
Eucalyptus_planchoniana_236,Eucalyptus_planchoniana,Eucalyptus_planchoniana
Eucalyptus_ligulata_subsp_ligulata_721,Eucalyptus_ligulata_ligulata,Eucalyptus_ligulata
